id,pali_1,commentary
26609,kālika 2,"(SNa) <b>kalikañ</b>'ca kho ahaṃ, āvuso'ti ahaṃ kho, āvuso, kālikaṃ kāmaṃ hitvā sandiṭṭhikaṃ lokuttaradhammaṃ anudhāvāmi."
29193,khila 1,(SNPa) tasmā munī n'atthi <b>khilo</b> kuhiñcī'ti tena kāraṇena ayaṃ muni rāg'ādikhilehi n'atthi khilo kuhiñcī'ti veditabbo.
15942,cara 1,(NIDD2 2.8) <b>caran</b>'ti caranto viharanto iriyanto vattento pālento yapento yāpento'ti
35918,ñatta 1,"(KNa) <b>ñattan</b>'ti jānanasabhāvo. yaṃ sippaṃ jānāti, yamhi vā issariye yase sampattiyañca ṭhito janena ñāyati, pākaṭo paññāto hoti, tassetaṃ nāmaṃ. sippaṃ vā hi issariyādibhāvo vā bālassa anatthāyeva jāyati."
59769,ṭhānīya 1,(MNa) somanassa<b>ṭṭhāniyan</b>'ti somanassassa ārammaṇavasena kāraṇabhūtaṃ.
59678,thalaṭṭha,(ANa) <b>thalaṭṭhassā</b>'ti ekamante ṭhitassa.
18159,dasāha,(VINa) <b>das'āha</b>paraman'ti dasa ahāni paramo paricchedo assā'ti das'āhaparamo
19698,diṭṭhamatta,(UDa) tattha diṭṭhe <b>diṭṭhamattan</b>'ti rūp'āyatane cakkhuviññāṇena diṭṭhamattaṃ.
19748,diṭṭhīnivesa,(SNPa) <b>diṭṭhīnivesā</b>'ti idaṃsacc'ābhinivesasaṅkhātāni diṭṭhinivesanāni.
35632,nappajahati,(SNa) <b>nappajahatī</b>'ti chandarāgappahānena na pajahati.
44768,paṭighasaññā 1,"(Abh Vibh 6.3) cakkh'ādīnaṃ vatthūnaṃ rūp'ādīnaṃ ārammaṇānañ'ca paṭighātena samuppannā saññā <b>paṭighasaññā</b>. rūpasaññ'ādīnaṃ etaṃ adhivacanaṃ. rūpasaññā saddasaññā gandhasaññā rasasaññā phoṭṭhabbasaññā, imā vuccanti <b>paṭighasaññāyo</b>'ti"
41245,paṇava,(ANa) <b>paṇavenā</b>'ti vajjhabheriyā.
45677,pattakalla,"(KV) yadi saṅghassa <b>pattakallan</b>'ti ettha patto kālo imassa kammassāti pattakālaṃ, pattakālameva pattakallaṃ."
42398,parāyana 1,(KNa) tap<b>parāyaṇā</b>'ti vivekaparāyaṇā vivekapoṇā.
42560,paricarati 1,(VIN 1.2.4) <b>paricareyyā</b>'ti abhirameyya.
44007,pasuta 1.1,(SNPa) pariyesan'ādi'm'anuyuttattā <b>pasutā</b>
45043,pātimokkha 2,(KV) tattha <b>pātimokkhan</b>'ti paatimokkhaṃ atipamokkhaṃ atiseṭṭhaṃ atiuttamanti attho.
47925,puṭaṃsa,"(ANa) <b>puṭaṃsenā</b>'ti'pi pāṭho. tassattho — puṭo aṃse assāti <b>puṭaṃso</b>, tena <b>puṭaṃsena</b>, aṃsena pātheyyapuṭaṃ vahantenā'pī'ti"
46442,phandamāna,(SNPa) pari<b>phandamānan</b>'ti ito c'ito ca <b>phandamānaṃ</b>.
14020,bhāsayati,(ANa) <b>bhāsaye</b>'ti obhāseyya.
31799,maccumukha,(SNPa) <b>maccumukhe</b> lapantī'ti antakāle sampatte maraṇamukhe paridevanti.
32616,majjhimapaṭipadā,"(MNa) atthi <b>majjhimā paṭipadā</b>'ti maggaṃ sandhāya idaṃ vuttaṃ. maggo hi lobho eko anto, doso eko antoti ete dve ante na upeti, na upagacchati, vimutto etehi antehi, tasmā “<b>majjhimā paṭipadā</b>”ti vuccati."
31852,madhubhāṇī,(ANa) <b>madhubhāṇī</b>'ti yo madhu viya madhurakathaṃ katheti.
33332,manussabhūta 3,"(THa) <b>manussabhūtan</b>'ti manussesu bhūtaṃ, nibbattaṃ, manussattabhāvaṃ vā pattaṃ."
33229,manopavicāra,"(MNa) <b>manopavicārā</b>'ti vitakkavicārā. vitakkuppādakañhi mano idha manoti adhippetaṃ, manassa upavicārāti manopavicārā."
32811,mamāyita 1,(SNPa) <b>mamāyite</b>'ti taṇhādiṭṭhimamattehi “maman”ti pariggahite vatthusmiṃ.
32950,mānatta 1,"(VINa) bhikkhu<b>mānattāyā</b>'ti bhikkhūnaṃ mānanabhāvāya, ārādhanatthāyā'ti vuttaṃ hoti."
33474,mārapāsa,(SNa) paṭimukka'ssa <b>mārapāso</b>'ti assa gīvāya <b>mārapāso</b> paṭimukko pavesito.
34621,muta 2,"(VIN 2.5.1.1) <b>mutaṃ</b> nāma ghānena ghāyitaṃ, jivhāya sāyitaṃ, kāyena phuṭṭhaṃ."
34349,mudiṅga,(SNa) ānako'ti evaṃladdhanāmo <b>mudiṅgo</b>. himavante kira mahākuḷīradaho ahosi.
34206,mohana 2,"(SNPa) <b>mohanaṃ</b> vuccati kāmaguṇā. ettha hi devamanussā muyhanti, tesu ajjhogāḷho hutvā. etena bahiddhābandhanaṃ vuttaṃ."
49084,rūpatta 1.1,"(SNa) yathā yāgum'eva yāguttāya, pūvam'eva pūvattāya pacati"
31077,lahuka 2,(ANa) <b>lahukena</b> asanenā'ti anto susiraṃ katvā tūl'ādīhi pūretvā katalakkhaparikammena sallahukakaṇḍena. evaṃ katañ'hi ekausabhagāmī dve usabhānipi gacchati ... aṭṭhusabhagāmī soḷasa usabhāni'pi gacchati.
49866,sagāha 2,(SNa) mātugāma-vasena <b>sagāhaṃ</b> sarakkhasaṃ.
53783,saṅkilesika,"(ANa) <b>saṃkilesikehī</b>'ti saṃkilesanakehi, pasannassa cittassa pasannabhāvadūsakehī'ti attho."
53686,saṅkhāratta 1.1,"(SNa) yathā yāgum'eva yāguttāya, pūvam'eva pūvattāya pacati"
53490,sañjagghati,(ANa) <b>sañjagghatī</b>'ti hasitakathaṃ katheti.
53900,saññatta 1,"(SNa) yathā yāgum'eva yāguttāya, pūvam'eva pūvattāya pacati"
54983,satta 3.1,(SNPa) <b>satto</b>'ti laggo. guhāyan'ti kāye. kāyo hi rāg'ādīnaṃ vāḷānaṃ vasan'okāsato “guhā”ti vuccati.
53856,sannāmeti 2,(MNa) na <b>sannāmetī</b>'ti obaddhānābaddhaṭṭhānehi pādaṃ koṭṭento viya na thaddhaṃ karoti.
49443,sabhaggata,(ANa) <b>sabhaggato</b>'ti sabhāya ṭhito.
52260,sampavedheti,(ANa) na <b>sampavedheyyā</b>'ti vedhetvā pavedhetvā pātetuṃ na sakkuṇeyya.
54625,saravant,(ANa) <b>saravatī</b>'ti sarasampannā.
50583,sallekha 2,"(MNa) <b>sallekho</b>'ti ca idha avihiṃsā'va veditabbā. avihiṃsā hi vihiṃsaṃ sallekhati, taṃ chindati, tasmā sallekho'ti vuccati. esa nayo sabbattha. ayaṃ pana viseso."
54490,sārada 2,(DHPa)<b> sārade</b>'ti saradakāle vāt'ātapapahatāni tattha tattha vippakiṇṇālābūni viya.
55345,sāvaṭṭa,(SNa) kāmaguṇa-vasena <b>sāvaṭṭaṃ</b>.
56289,sīsacchejja,(ANa)<b> sīsacchejjan</b>'ti sīsacched'ārahaṃ.
56567,somanassaṭṭhānīya,(MNa) <b>somanassaṭṭhāniyan</b>'ti somanassassa ārammaṇavasena kāraṇabhūtaṃ.
65554,vatthu 6,(KNa) paṭhamaṃ uppannaṃ kilesā pacchā uppajjanakānaṃ kāraṇabhāvato kilesāva kilesa<b>vatthūni</b>
65659,vayañcassānupassati,(ANa) <b>vayañ'c'ass'ānupassatī</b>'ti tassa cesa cittassa uppādam'pi vayam'pi passati.
67617,viññāṇatta 1.1,"(SNa) yathā yāgum'eva yāguttāya, pūvam'eva pūvattāya pacati"
68585,vitakkasaṅkhārasaṇṭhāna,"(MNa) idaṃ vuttaṃ hoti, ayaṃ vitakko kiṃ hetu kiṃ paccayā kiṃ kāraṇā uppanno'ti vitakkānaṃ mūlañ'ca mūlamūlañ'ca manasikātabban'ti."
66467,viditvā 2,(NIDD2 2.8) yaṃ <b>viditvā</b> sato caran'ti yaṃ viditaṃ katvā tulayitvā tīrayitvā vibhāvayitvā vibhūtaṃ katvā.
68262,visañña,"(NIDD1) <b>visañña</b>saññino vuccanti ummattakā ye ca khittacittā, na'pi so ummattako, no'pi khittacitto'ti"
65785,vedanatta 1.1,"(SNa) yathā yāgum'eva yāguttāya, pūvam'eva pūvattāya pacati"
24387,hirī,"(DHPa) api cettha ajjhattasamuṭṭhānā <b>hirī</b>, bahiddhāsamuṭṭhānaṃ ottappaṃ."
