compound	split
nāhamasmi	na + ahaṃ + asmi
asuyeva	asu + eva
nayimaṃ	na + imaṃ
nevattabyābādhāya	na + eva + attabyābādhāya
nāpahosiṃ	na + api + ahosiṃ
mābhinandi	mā + abhinandi
yañcāhaṃ	yaṃ + ca + ahaṃ
nevattānukkaṃsessāma	na + eva + attānukkaṃsessāma
yañcāvuso	yaṃ + ca + āvuso
kosu	ko + su
nevattānukkaṃsissāma	na + eva + attānukkaṃsissāma
evaṃbyākho	evaṃ + byā + kho
yampāvuso	yaṃ + api + āvuso
tebhikkhū	te + bhikkhū
yaṃsa	yaṃ + assa
sopikho	so + api + kho
tyāvuso	te + āvuso
metamāsado	mā + etaṃ + āsado
māhaṃ	mā + ahaṃ
yañcassa	yaṃ + ca + assa
atthānanda	atthi + ānanda
appatissotissa	appatisso + iti + assa
tamenāññataro	taṃ + ena + aññataro
evaṃbyākhoti	evaṃ + byā + kho + iti
maññantīti	maññanti + iti
naṅgulīhi	na + aṅgulīhi
yodhapuññañca	yo + idha + puññaṃ + ca
yodhakāme	yo + idha + kāme
yodhataṇhaṃ	yo + idha + taṇhaṃ
devātipadesu	devā + iti + padesu
adhidevātipadesu	adhidevā + iti + padesu
atthetanti	atthi + etaṃ + iti
māheva	mā + hi + eva
sossa	so + assa
santetthekacce	santi + ettha + ekacce
kiñcanatasmiṃ	kiñcanatā + asmiṃ
kirame	kira + ime
atthitevassa	atthi + iti + eva + assa
khajjabhojjarasalābhiruttamaṃ	khajjabhojjarasalābhi + uttamaṃ
middhī	m + iddhī
yantitthiyo	yanti + itthiyo
yaṃpāyasmā	yaṃ + api + āyasmā
vāssa	vā + assa
yampimaṃ	yaṃ + api + imaṃ
apaṇṇakante	apaṇṇakaṃ + te
manubrūhaye	m + anubrūhaye
ādiyeva	ādi + eva
cevuttāsavā	ca + eva + uttāsavā
nevussādeyya	na + eva + ussādeyya
nevussādanā	na + eva + ussādanā
nevubhato	na + eva + ubhato
yāpetāyasmā	yāpetu + āyasmā
evammettha	evaṃ + me + ettha
tenevovādena	tena + eva + ovādena
nevidha	na + eva + idha
nayime	na + ime
cedaṃ	ce + idaṃ
yaṃnūnassāhaṃ	yaṃ + nūna + assa + ahaṃ
mānubyañjanaggāhī	mā + anubyañjanaggāhī
nevāsaṃ	na + eva + āsaṃ
sammāsaṅkappaṃpahaṃkyādīsupi	sammāsaṅkappaṃ + api + ahaṃ + kiṃ + ādīsu + api
tepīdha	te + api + idha
yidanti	idaṃ + iti
panassāti	pana + assa + iti
pabbatassāti	pabbata + assa + iti
ehayyebhiramāmaseti	ehi + ayye + abhiramāmase + iti
ramāmaseti	ramāmase + iti
puratthamatthi	puratthaṃ + atthi
tyāhutiṃ	te + āhutiṃ
tyāyaṃ	te + ayaṃ
yamariyagarahī	yaṃ + ariyagarahī
yamariye	yaṃ + ariye
yamariyaṃ	yaṃ + ariyaṃ
nahanūnimassa	na + ha + nūna + imassa
tyatthu	te + atthu
tyāssudaṃ	ta + assudaṃ
mejja	me + ajja
kome	ko + ime
mañca	maṃ + ca
nāmamhehi	nāma + amhehi
labhatippasādaṃ	labhati + pasādaṃ
labhatippasaṃsanti	labhati + pasaṃsaṃ + iti
yānukampā	yo + anukampā
sānukampā	so + anukampā
tuṇhībhūtāyamuttarā	tuṇhībhūtā + ayaṃ + uttarā
māyime	mā + ime
voti	vo + iti
gahitosīti	gahito + asi + iti
nāvattena	na + āvattena
yadāsvāhaṃ	yadā + so + ahaṃ
yannūna	yaṃ + nūna
pāpakampissa	pāpakaṃ + api + assa
mañcepi	maṃ + ce + api
tetamanuvatteti	te + taṃ + anuvatteti
yampāyasmā	yaṃ + api + āyasmā
yannūnāhampi	yaṃ + nūna + āhaṃ + api
nevasekkho	na + eva + sekkho
nāsekkho	na + asekkho
yannu	yaṃ + nu
alaṃvacanāyāti	alaṃ + vacanāyā + iti
yannūnassāhaṃ	yaṃ + nūna + assa + ahaṃ
sāhaṃ	sā + ahaṃ
sāhaṃ	so + ahaṃ
nevajjhagā	na + eva + ajjhagā
itonidānā	ito + nidānā
kosudha	ko + su + idha
asatañca	asataṃ + ca
sodha	so + idha
pire	api + re
samphalanti	saṃ + phalaṃ + iti
sohamete	so + ahaṃ + ete
nayidha	na + idha
soti	so + iti
yañce	yaṃ + ce
kedha	ke + idha
svahaṃ	so + ahaṃ
nesa	na + esa
yedha	ye + idha
nocidhāpakataṃ	no + ce + idha + apakataṃ
nocidhāpagataṃ	no + ce + idha + apagataṃ
yannūnāhaṃ	yaṃ + nūna + ahaṃ
tyassa	te + assa
voccayanti	vo + accayaṃ + iti
aṭṭhīyakapiṇḍameti	aṭṭhīyakapiṇḍaṃ + eti
nocīdha	no + ca + idha
santīdha	santi + idha
vatāyanti	vata + ayaṃ + iti
thenosīti	theno + asi + iti
pādārahenavā	pādārahena + vā
atirekapādenavāti	atirekapādena + vā + iti
sasaññāyapare	sa + saññā + apare
māyidaṃ	mā + idaṃ
sūlaṃvā	sūlaṃ + vā
laguḷaṃvā	laguḷaṃ + vā
māyimaṃ	mā + imaṃ
āmayye	āma + ayye
yevānanda	ye + ānanda
pubbevassa	pubba + eva + assa
nāgānogāhanena	nāgānaṃ + ogāhanena
nattheso	na + atthi + eso
ahañcetaṃ	ahaṃ + ca + etaṃ
pupphantīti	pupphanti + iti
ubhatobyañjanāsīti	ubhatobyañjanā + asi + iti
āmāyya	āma + ayya
āmāyye	āma + ayye
nāmhākaṃ	na + amhākaṃ
dehimesaṃ	dehi + imesaṃ
māyyo	mā + ayyo
nāyyo	na + ayyo
assamamāgamissanti	assamaṃ + āgamissaṃ + iti
māyidha	mā + idha
ayyenamhi	ayyena + amhi
nāyasmā	na + āyasmā
kvāyaṃ	ko + ayaṃ
naheva	na + hi + eva
nocassa	no + ca + assa
āharayya	āhara + ayya
nayimesaṃ	na + imesaṃ
tañceti	taṃ + ce + iti
acchādetukāmosīti	acchādetukāmo + asi + iti
meyya	me + ayya
jīnosīti	jīno + asi + iti
āgatosīti	āgato + asi + iti
icchatāvuso	icchati + āvuso
handimaṃ	handa + imaṃ
kinte	kiṃ + te
māvuso	mā + āvuso
tāvade	tāva + eva
alametaṃ	alaṃ + etaṃ
yaṃpāhaṃ	yaṃ + api + ahaṃ
yampāhaṃ	yaṃ + api + ahaṃ
kvattho	ko + attho
māyye	mā + ayye
sabboyaṃ	sabbo + ayaṃ
yaṃatthāya	yaṃ + atthāya
apamārikosīti	apamāriko + asi + iti
madhumehikosīti	madhumehiko + asi + iti
accodātosīti	accodāto + asi + iti
nāccodātosīti	nāccodāto + asi + iti
mohapariyuṭṭhitosīti	mohapariyuṭṭhito + asi + iti
vītamohosīti	vītamoho + asi + iti
ajjhāpannosīti	ajjhāpanno + asi + iti
sotāpannosīti	sotāpanno + asi + iti
brāhmaṇosīti	brāhmaṇo + asi + iti
kulavaḍḍhakosīti	kulavaḍḍhako + asi + iti
saṅgharakkhitosīti	saṅgharakkhito + asi + iti
bhāradvājosīti	bhāradvājo + asi + iti
pupphachaḍḍakosīti	pupphachaḍḍako + asi + iti
gorakkhosīti	gorakkho + asi + iti
nahāpitosīti	nahāpito + asi + iti
lekhakosīti	lekhako + asi + iti
nayimesaññeva	na + imesaṃ + eva
nāyya	na + ayya
sañciccavadhasappāṇaṃ	sañcicca + vadha + sappāṇaṃ
nānānayavicittaṃ	nānā + naya + vicittaṃ
nārahatāyaṃ	na + arahati + ayaṃ
nāyye	na + ayye
tassāyaṃ	tassa + ayaṃ
cādhammenadhīyati	ca + adhammena + adhīyati
kumbhamivābhidāti	kumbhaṃ + iva + abhidā + iti
nipannāsīti	nipannā + asi + iti
cattamano	ca + attamano
chindiyeva	chindi + eva
dirattatirattañce	dirattatirattaṃ + ce
etadevaatthāya	etad + eva + atthāya
nāyyā	nu + ayyā
niccamhāti	nicca + amhā + iti
dhuvamhāti	dhuva + amhā + iti
sassatamhāti	sassata + amhā + iti
vimuttītissa	vimuttī + iti + assa
virāgotissa	virāgo + iti + assa
tissa	ti + assa
tissa	iti + assa
nibbidātissa	nibbidā + iti + assa
yathābhūtañāṇadassanantissa	yathābhūtañāṇadassanaṃ + iti + assa
samādhītissa	samādhi + iti + assa
sukhantissa	sukhaṃ + iti + assa
passaddhītissa	passaddhi + iti + assa
pītītissa	pīti + iti + assa
pāmojjantissa	pāmojjaṃ + iti + assa
saddhātissa	saddhā + iti + assa
dukkhantissa	dukkhaṃ + iti + assa
jātītissa	jāti + iti + assa
bhavotissa	bhavo + iti + assa
upādānantissa	upādānaṃ + iti + assa
taṇhātissa	taṇhā + iti + assa
vedanātissa	vedanā + iti + assa
phassotissa	phasso + iti + assa
saḷāyatanantissa	saḷāyatanaṃ + iti + assa
nāmarūpantissa	nāmarūpaṃ + iti + assa
viññāṇantissa	viññāṇaṃ + iti + assa
saṅkhārātissa	saṅkhārā + iti + assa
avijjātissa	avijjā + iti + assa
hāyasmā	hi + āyasmā
natumhā	na + tumhākaṃ
dissatāyaṃ	dissati + ayaṃ
ārakāvassa	ārakā + eva + assa
pucchāmahaṃ	pucchāmi + ahaṃ
yeti	ye + iti
tāvime	tāva + ime
nocedañca	no + ce + idaṃ + ca
nocedaṃ	no + ce + idaṃ
subhantveva	subhaṃ + ti + eva
subhantveva	subhaṃ + tu + eva
kiñcarahāvuso	kiṃ + carahi + āvuso
kamuddiseyyanti	kaṃ + uddiseyyaṃ + iti
tāvadeti	tāva + eva + iti
kiṃvādāyasmantānaṃ	kiṃ + vādī + āyasmantānaṃ
sīhassevitare	sīhassa + eva + itare
nevācināti	na + eva + ācināti
nāraññe	na + araññe
mamovādena	mama + ovādena
bhabbosi	bhabbo + asi
jahantimaṃ	jahanti + imaṃ
etādisāyaṃ	etādiso + ayaṃ
saraṇattano	saraṇaṃ + attano
abhāvitattātissa	abhāvitattā + iti + assa
bhāvitattātissa	bhāvitattā + iti + assa
pañcupādānakkhandhātissa	pañcupādānakkhandhā + iti + assa
arahātissa	arahā + iti + assa
soattā	so + attā
nocamesiyā	no + ca + me + siyā
cittasseso	cittassa + eso
nīlādīhi	nīla + ādīhi
midhekacco	idha + ekacco
ahamovādena	ahaṃ + ovādena
mete	me + te
tepime	te + api + ime
māyasmantānampi	mā + āyasmantānaṃ + api
vācāvatthurevassa	vācāvatthu + eva + assa
vācāvatthudevassa	vācāvatthu + eva + assa
viharantānavassutā	viharantā + anavassutā
athoppiye	atho + appiye
cittamassūpahaññati	cittaṃ + assa + upahaññati
nibbānamuccati	nibbānaṃ + uccati
nibbānamuccatīti	nibbānaṃ uccati + iti
tasmātihāvuso	tasmā + iha + āvuso
itthetanti	ittha + etaṃ + iti
japāmaseti	japāmase + iti
anupaṭṭhitakāyassatītveva	anupaṭṭhitakāyassati + iti + eve
yāvatatthīti	yāvatā + atthi + iti
sammūḷhettha	sammūḷho + ettha
mariyebhi	m + ariyebhi
natumhākameva	na + tumhākaṃ + eva
nume	nu + ime
pariyādiyantevassa	pariyādiyantI + eva + assa
natthassa	natthi + assa
iticīticeva	iti + ca + iti + ca + eva
yathāpitveva	yathā + api + iti + eva
tathevimasmiṃ	tathā + eva + imasmiṃ
caṇḍotveva	caṇḍo + iti + eva
caṇḍoteva	caṇḍo + iti + eva
suratoteva	surato + iti + eva
tidhammo	ti + dhammo
pāhaṃ	pi + ahaṃ
yaṃbahulañca	yaṃbahulaṃ + ca
natvevāhaṃ	na + iti + eva + ahaṃ
cāvahātuṃ	ca + āvahātuṃ
bhadrarāsiyapāṭalīti	bhadra + rāsiya + pāṭalī + iti
mahāyye	mahā + ayye
dhammābhiññeyyāti	dhammā + abhiññeyyā + iti
atthattāti	atthi + attā + iti
natthattāti	natthi + attā + iti
yassapassa	yassa + api + assa
sakalamidaṃ	sakalaṃ + idaṃ
kācimā	kāci + imā
ayamācāro	ayaṃ + ācāro
sacejja	sace + ajja
maccurājāgamissatīti	maccurāja + āgamissati + iti
maccujarākampisminti	maccujara + akampismiṃ + iti
cepāyasmā	ce + api + āyasmā
sacepāyasmā	sace + api + āyasmā
appamattakāyaṃ	appamattaka + ayaṃ
sototveva	soto + iti + eva
sototi	soto + iti
yādha	yā + idha
yāssa	yā + assa
idāhaṃ	ida + ahaṃ
pabhassaramidaṃ	pabhassaraṃ + idaṃ
tepimaṃ	te + api + imaṃ
aggoti	aggo + iti
kamattha	kaṃ + attha
atthesaṃ	atthi + esaṃ
arāpi	arā + pi
sopassa	so + api + assa
saṭhoso	saṭho + so
nevādiṃ	na + eva + ādiṃ
yāvatānanda	yāvatā + ānanda
evassu	eva + assu
yopassa	yo + api + assa
sammukhāmetaṃ	sammukhā + me + etaṃ
panassāhaṃ	pana + ssu + ahaṃ
pabbatātappaṃ	pabbata + ātappaṃ
mayamassu	mayaṃ + assu
vatāyasmā	vata + āyasmā
iccāyaṃ	iti + ayaṃ
iccāyampi	iti + ayaṃ + api
iccāyante	iti + ayaṃ + te
subhanimittantissa	subhanimittaṃ + iti + assa
asubhanimittantissa	asubhanimittaṃ + iti + assa
tathāhāyaṃ	tathā + hi + ayaṃ
aṭṭhaṅgikamāhuposathaṃ	aṭṭhaṅgikaṃ + āhu + uposathaṃ
tassajja	tassa + ajja
osīdatimeva	osīdati + eva
saṃsīdatimeva	saṃsīdati + eva
sandhiyatimeva	sandhiyati + eva
saṃsandatimeva	saṃsandati + eva
sammodatimeva	sammodati + eva
adinnamicchā	adinnaṃ + icchā
pahānakkhayabbayena	pahāna + khaya + vayena
paṭighanimittantissa	paṭighanimittaṃ + iti + assa
manasikārotissa	manasikāro + iti + assa
cetovimuttītissa	cetovimutti + iti + assa
yonisomanasikārotissa	yonisomanasikāro + iti + assa
soyaṃ	so + ayaṃ
yathariva	yathā + eva
yatharivāhaṃ	yathā + eva + ahaṃ
yatharivāyaṃ	yathā + eva + ayaṃ
kathāhaṃ	kathaṃ + ahaṃ
midhekaccassa	idha + ekaccassa
temaṃ	te + imaṃ
yampāyaṃ	yaṃ + api + ayaṃ
vāyāmañca	vāyāmaṃ + ca
nāpissa	na + api + assa
yamenaṃ	yaṃ + enaṃ
attantāpo	attaṃ + tāpo
asasmīti	asa + asmi + iti
yyāssa	ye + assa
yaṃnissitā	yaṃ + nissitā
saṅkhasaddotveva	saṅkhasaddo + iti + eva
bherisaddotveva	bherisaddo + iti + eva
sukhañcetaṃdhivattatīti	sukhaṃ + ca + etaṃ + adhivattati + iti
taṇhāyogena	taṇhā + yogena
cayime	ca + ime
idamassāhaṃ	idaṃ + assa + ahaṃ
sīhassevitaremigā	sīhassa + eva + itare + migā
nājeḷakā	na + ajeḷakā
passāmissānubhāvanti	passāmi + assa + ānubhāvaṃ + iti
snehānvayamivosadhāti	snehānvayaṃ + iva + osadhā + iti
snehamanvāyamivosadhāti	snehaṃ + anvāya + iva + osadhā + iti
rohitassāpare	rohitassa + apare
atthāsaṃ	atthā + āsaṃ
kamatiṭṭhānaṃ	kamati + ṭhānaṃ
anavajjenamhi	anavajjena + amhi
karontākusalaṃ	karonta + akusalaṃ
nassevanti	na + assa + evaṃ + iti
aparāmasanti	aparāmasaṃ + iti
yenayyo	yena + ayyo
vitthārāsubhaṃ	vitthāra + asubhaṃ
vatassāyaṃ	vata + ssu + ayaṃ
vatassāyaṃ	vata + assaṃ + ayaṃ
kāmātveva	kāmā + iti + eva
āyataneti	āyatane + iti
nayimassa	na + imassa
bhikkhutveva	bhikkhu + iti + eva
aṅgantveva	aṅgaṃ + iti + eva
atthetaṃ	atthi + etaṃ
gavesināti	gavesinā + iti
brāhmaṇātveva	brāhmaṇa + iti + eva
khandhimāva	khandhimā + iva
vācatuppādā	vā + catuppādā
caṇḍālimpi	caṇḍāliṃ + api
sayanamathannapānaṃ	sayanaṃ + atha + annapānaṃ
abhiramatāyasmā	abhiramati + āyasmā
nāssassa	nāssa + assa
nāssassa	na + assa + assa
appaṃsupati	appaṃ + supati
sopapajjati	so + upapajjati
sopapajjatīti	so + upapajjati + iti
tyāssume	te + assu + ime
itohaṃ	ito + ahaṃ
tyassudaṃ	te + assudaṃ
khādaneti	khādane + iti
dīghācārāvāsikañca	dīgha + ācāra + āvāsikaṃ + ca
tyassume	te + assu + ime
assanti	assaṃ + iti
jarasāpi	jarasā + api
pathavītveva	pathavī + iti + eva
āpotveva	āpo + iti + eva
tejotveva	tejo + iti + eva
vāyotveva	vāyo + iti + eva
kāmarāgarattāyaṃ	kāmarāgaratta + ayaṃ
yete	ye + ete
amissīkatamevassa	amissīkataṃ + eva + assa
nayimāni	na + imāni
taṭṭhānā	ta + ṭhānā
sāpissa	sā + api + assa
tyāpare	te + āpare
tyāpare	te + apare
vayañcassānupassatīti	vayaṃ + ca + assa + anupassati + iti
yassaṃdisaṃ	yassaṃ + disaṃ
atohayaṃ	ato + hi + ayaṃ
itopāyaṃ	ito + api + ayaṃ
yañcassā	yaṃ + ca + assā
puññamahitaṃ	puññamahi + taṃ
atthuttari	atthi + uttari
saṃvaṭṭamānassudāhaṃ	saṃvaṭṭamāna + sudaṃ + ahaṃ
sambhatamassa	sambhataṃ + assa
yācīdha	yā + ca + idha
tāti	tā + iti
pabbatāmapi	pabbataṃ + api
itāyaṃ	iti + ayaṃ
khīṇanteva	khīṇaṃ + iti + eva
dukkhamanattā	dukkhaṃ + anattā
manusāsi	m + anusāsi
niddhamathetaṃ	niddhamatha + etaṃ
ahamaṭṭhitomhīti	ahaṃ + aṭṭhito + amhi + iti
ajāyihaṃ	ajāyi + ahaṃ
nevadassanena	na + eva + dassanena
natthiyā	na + atthiyā
nonatthiyā	no + na + atthiyā
naaññamaññe	na + aññaṃ + aññe
naadhipatipaccayā	na + adhipati + paccayā
noupādā	no + upādā
vātiādi	vā + iti + ādi
nevavipākanavipākadhammadhammo	na + eva + vipāka + na + vipāka + dhamma + dhammo
nevācayagāmināpacayagāmī	na + eva + ācayagāmī + na + apacayagāmī
nevācayagāmināpacayagāmiṃ	na + eva + ācayagāmī + na + apacayagāmiṃ
nevācayagāmināpacayagāmissa	na + eva + ācayagāmī + na + apacayagāmissa
nevācayagāmināpacayagāmiñca	na + eva + ācayagāmī + na + apacayagāmiṃ + ca
nevācayagāmināpacayagāmino	na + eva + ācayagāmī + na + apacayagāmino
nevācayagāmināpacayagāminī	na + eva + ācayagāmī + na + apacayagāminī
noavigate	no + avigate
tāvettha	tāva + ettha
svassa	so + assa
nediso	na + ediso
tyajja	te + ajja
tedāni	te + dāni
yampānanda	yaṃ + api + ānanda
suddhāsuddhehi	suddhā + suddhehi
kāmaññe	kāmā + aññe
malitthiyā	malaṃ + itthiyā
aṭṭhahākārehi	aṭṭhahi + ākārehi
